genre,danceability,energy,acousticness,instrumentalness,valence,speechiness,loudness,tempo
jazz,0.6940000000000001,0.831,0.165,0.000892,0.98,0.0301,-7.287999999999999,125.90100000000001
jazz,0.271,0.165,0.7290000000000001,1.6e-06,0.203,0.0351,-20.651999999999997,77.082
jazz,0.609,0.435,0.524,0.0,0.563,0.284,-7.862,131.998
jazz,0.273,0.34700000000000003,0.546,0.0137,0.32799999999999996,0.0292,-8.631,87.411
jazz,0.8029999999999999,0.488,0.5760000000000001,0.0609,0.624,0.0803,-9.302999999999999,95.771
jazz,0.44299999999999995,0.10400000000000001,0.9129999999999999,0.0,0.39399999999999996,0.10099999999999999,-17.042,76.497
jazz,0.732,0.198,0.883,1.1e-05,0.618,0.027999999999999997,-11.775,88.17399999999999
jazz,0.39899999999999997,0.326,0.8640000000000001,0.0,0.546,0.0386,-9.238999999999999,79.206
jazz,0.47700000000000004,0.433,0.6890000000000001,0.000195,0.611,0.0247,-6.473,82.52
jazz,0.363,0.129,0.904,1.52e-06,0.147,0.0322,-14.304,80.367
jazz,0.46399999999999997,0.305,0.9359999999999999,0.0846,0.282,0.0316,-12.435,108.229
jazz,0.601,0.222,0.9059999999999999,4.11e-05,0.271,0.0303,-10.485,106.75399999999999
jazz,0.769,0.924,0.596,0.0156,0.88,0.051,-5.263,123.98899999999999
jazz,0.507,0.0779,0.866,0.00275,0.326,0.0544,-12.099,70.808
jazz,0.526,0.299,0.941,0.09699999999999999,0.679,0.031,-13.797,156.84799999999998
jazz,0.42100000000000004,0.0161,0.81,0.0021,0.16,0.0374,-25.358,110.926
jazz,0.532,0.0657,0.94,0.00488,0.292,0.0406,-19.136,128.607
jazz,0.425,0.373,0.679,0.0,0.6629999999999999,0.0797,-7.542999999999999,78.225
jazz,0.418,0.285,0.83,1.53e-06,0.4,0.0291,-9.43,86.13
jazz,0.47100000000000003,0.146,0.782,0.0,0.595,0.0309,-13.6,78.554
jazz,0.5579999999999999,0.12300000000000001,0.809,0.00121,0.341,0.0525,-10.395999999999999,70.16
jazz,0.42700000000000005,0.114,0.843,0.863,0.114,0.0509,-22.546,60.483999999999995
