genre,danceability,energy,acousticness,instrumentalness,valence,speechiness,loudness,tempo
pop,0.514,0.73,0.00146,9.54e-05,0.334,0.0598,-5.934,171.005
pop,0.794,0.7929999999999999,0.0125,0.0,0.677,0.0842,-4.521,123.941
pop,0.787,0.6729999999999999,0.256,3.57e-06,0.7859999999999999,0.158,-4.577,110.962
pop,0.621,0.601,0.0522,0.0,0.457,0.14800000000000002,-5.6160000000000005,116.735
pop,0.863,0.631,0.305,3.04e-05,0.8170000000000001,0.0534,-4.689,128.977
pop,0.878,0.525,0.183,0.0,0.6940000000000001,0.0578,-6.832000000000002,112.022
pop,0.8340000000000001,0.454,0.321,6.15e-06,0.8370000000000001,0.201,-9.75,81.618
pop,0.784,0.721,0.0149,0.00424,0.895,0.0506,-5.457000000000002,121.966
pop,0.778,0.5589999999999999,0.128,0.0,0.6779999999999999,0.0776,-7.109,129.989
pop,0.8109999999999999,0.5529999999999999,0.317,0.0,0.86,0.0552,-6.644,148.014
pop,0.8240000000000001,0.588,0.6920000000000001,0.000104,0.513,0.0924,-6.4,98.027
pop,0.501,0.405,0.7509999999999999,0.0,0.446,0.0319,-5.6789999999999985,109.891
pop,0.843,0.741,0.0252,0.0,0.68,0.334,-5.609,168.983
pop,0.923,0.604,0.017,0.0,0.826,0.245,-6.671,145.062
pop,0.667,0.7190000000000001,0.00285,8.1e-05,0.7170000000000001,0.0346,-5.371,100.021
pop,0.7240000000000001,0.491,0.018000000000000002,1.29e-05,0.383,0.0296,-6.024,105.046
pop,0.6759999999999999,0.7709999999999999,0.0237,7.000000000000002e-06,0.569,0.0483,-3.675,99.048
pop,0.784,0.43,0.123,0.0,0.236,0.0364,-8.756,127.087
pop,0.6759999999999999,0.609,0.0706,0.0,0.508,0.481,-5.831,142.037
pop,0.7070000000000001,0.955,0.127,0.0,0.575,0.222,-4.593,125.989
pop,0.5720000000000001,0.406,0.5870000000000001,4.48e-06,0.265,0.0427,-8.624,119.812
pop,0.701,0.425,0.328,0.13,0.562,0.375,-10.965,135.128
pop,0.591,0.585,0.14300000000000002,0.0,0.324,0.0277,-6.35,110.94
pop,0.879,0.499,0.24,0.0,0.405,0.18,-6.027,106.043
pop,0.378,0.461,0.627,0.0,0.232,0.0275,-6.202000000000001,75.363
pop,0.654,0.63,0.153,0.0,0.43,0.0259,-4.644,89.991
pop,0.5670000000000001,0.267,0.8390000000000001,1.46e-06,0.0592,0.0299,-6.502000000000002,110.011
pop,0.8059999999999999,0.546,0.3,0.0,0.8740000000000001,0.0575,-6.6370000000000005,147.986
pop,0.6859999999999999,0.541,0.042,0.0,0.7240000000000001,0.0493,-4.993,120.084
pop,0.464,0.473,0.866,0.0,0.604,0.129,-10.086,75.801
pop,0.809,0.545,0.392,0.0,0.244,0.0735,-6.678,97.008
pop,0.73,0.7290000000000001,0.16699999999999998,1.39e-06,0.467,0.0886,-3.434,113.012
pop,0.459,0.575,0.604,0.0,0.183,0.0573,-4.8580000000000005,111.881
pop,0.501,0.674,0.00346,3.5600000000000005e-05,0.152,0.0408,-6.363,155.05100000000004
pop,0.6759999999999999,0.815,0.00146,0.00041,0.7959999999999999,0.0625,-4.294,117.973
pop,0.6759999999999999,0.7709999999999999,0.0237,7.000000000000002e-06,0.569,0.0483,-3.675,99.048
pop,0.657,0.768,0.108,0.0,0.759,0.0507,-4.628,75.025
pop,0.664,0.5720000000000001,0.0811,0.00604,0.14300000000000002,0.0305,-6.099,108.959
pop,0.537,0.746,0.0236,1.01e-06,0.252,0.15,-5.5070000000000014,170.062
pop,0.893,0.618,0.0827,0.0,0.389,0.112,-4.425,119.099
pop,0.794,0.7929999999999999,0.0125,0.0,0.677,0.0842,-4.521,123.941
pop,0.787,0.6729999999999999,0.256,3.57e-06,0.7859999999999999,0.158,-4.577,110.962
pop,0.621,0.601,0.0522,0.0,0.457,0.14800000000000002,-5.6160000000000005,116.735
pop,0.863,0.631,0.305,3.04e-05,0.8170000000000001,0.0534,-4.689,128.977
pop,0.878,0.525,0.183,0.0,0.6940000000000001,0.0578,-6.832000000000002,112.022
pop,0.8340000000000001,0.454,0.321,6.15e-06,0.8370000000000001,0.201,-9.75,81.618
pop,0.784,0.721,0.0149,0.00424,0.895,0.0506,-5.457000000000002,121.966
pop,0.778,0.5589999999999999,0.128,0.0,0.6779999999999999,0.0776,-7.109,129.989
pop,0.8109999999999999,0.5529999999999999,0.317,0.0,0.86,0.0552,-6.644,148.014
pop,0.8240000000000001,0.588,0.6920000000000001,0.000104,0.513,0.0924,-6.4,98.027
pop,0.501,0.405,0.7509999999999999,0.0,0.446,0.0319,-5.6789999999999985,109.891
pop,0.843,0.741,0.0252,0.0,0.68,0.334,-5.609,168.983
pop,0.923,0.604,0.017,0.0,0.826,0.245,-6.671,145.062
pop,0.667,0.7190000000000001,0.00285,8.1e-05,0.7170000000000001,0.0346,-5.371,100.021
pop,0.7240000000000001,0.491,0.018000000000000002,1.29e-05,0.383,0.0296,-6.024,105.046
pop,0.6759999999999999,0.7709999999999999,0.0237,7.000000000000002e-06,0.569,0.0483,-3.675,99.048
pop,0.784,0.43,0.123,0.0,0.236,0.0364,-8.756,127.087
pop,0.6759999999999999,0.609,0.0706,0.0,0.508,0.481,-5.831,142.037
pop,0.7070000000000001,0.955,0.127,0.0,0.575,0.222,-4.593,125.989
pop,0.5720000000000001,0.406,0.5870000000000001,4.48e-06,0.265,0.0427,-8.624,119.812
pop,0.701,0.425,0.328,0.13,0.562,0.375,-10.965,135.128
pop,0.591,0.585,0.14300000000000002,0.0,0.324,0.0277,-6.35,110.94
pop,0.879,0.499,0.24,0.0,0.405,0.18,-6.027,106.043
pop,0.378,0.461,0.627,0.0,0.232,0.0275,-6.202000000000001,75.363
pop,0.654,0.63,0.153,0.0,0.43,0.0259,-4.644,89.991
