artist_name,track_name,popularity,track_id,track_uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,genre
Baby Keem,ORANGE SODA,81,5FkoSXiJPKTNyYgALRJFhD,spotify:track:5FkoSXiJPKTNyYgALRJFhD,0.83,0.564,-7.822,0.235,0.177,0.0,0.128,0.107,85.042,129882,HipHop
XXXTENTACION,Fuck Love (feat. Trippie Redd),85,7AQim7LbvFVZJE3O8TYgf2,spotify:track:7AQim7LbvFVZJE3O8TYgf2,0.797,0.533,-9.74,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,HipHop
Lil Baby,Heatin Up (feat. Gunna),83,7KSSdFCBHCfq4KPzz78ghk,spotify:track:7KSSdFCBHCfq4KPzz78ghk,0.788,0.436,-9.435,0.364,0.0611,0.0,0.0979,0.341,129.847,177314,HipHop
J. Cole,No Role Modelz,82,62vpWI1CHwFy7tMIcSStl8,spotify:track:62vpWI1CHwFy7tMIcSStl8,0.696,0.521,-8.465,0.332,0.302,0.0,0.0565,0.458,100.0,292987,HipHop
Meek Mill,Going Bad (feat. Drake),84,2IRZnDFmlqMuOrYOLnZZyc,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,-6.365,0.0905,0.259,0.0,0.252,0.544,86.003,180522,HipHop
Ali Gatie,It's You,88,5DqdesEfbRyOlSS3Tf6c29,spotify:track:5DqdesEfbRyOlSS3Tf6c29,0.732,0.463,-6.972,0.0287,0.374,0.0,0.194,0.397,95.971,212607,HipHop
DaBaby,JUMP (feat. YoungBoy Never Broke Again),80,0oT9ElXYSxvnOOagP9efDq,spotify:track:0oT9ElXYSxvnOOagP9efDq,0.896,0.72,-6.262,0.355,0.169,0.0,0.252,0.966,140.1,212093,HipHop
Ali Gatie,What If I Told You That I Love You,82,74D7JUfU6HYeMx4bZhsHnG,spotify:track:74D7JUfU6HYeMx4bZhsHnG,0.605,0.365,-11.144,0.111,0.63,6.83e-06,0.0554,0.224,84.628,193668,HipHop
Childish Gambino,Redbone,83,0wXuerDYiBnERgIpbb3JBR,spotify:track:0wXuerDYiBnERgIpbb3JBR,0.743,0.347,-11.174,0.121,0.167,0.00951,0.103,0.572,160.143,326933,HipHop
XXXTENTACION,Moonlight,86,0JP9xo3adEtGSdUEISiszL,spotify:track:0JP9xo3adEtGSdUEISiszL,0.921,0.537,-5.723,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,HipHop
Lil Baby,Drip Too Hard (Lil Baby & Gunna),83,78QR3Wp35dqAhFEc2qAGjE,spotify:track:78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,-6.903,0.292,0.0852,0.0,0.534,0.389,112.511,145543,HipHop
Offset,Ric Flair Drip (& Metro Boomin),82,7sO5G9EABYOXQKNPNiE9NR,spotify:track:7sO5G9EABYOXQKNPNiE9NR,0.88,0.428,-8.28,0.206,0.149,5.07e-05,0.114,0.333,100.007,172800,HipHop
Ski Mask The Slump God,Faucet Failure,80,1ThmUihH9dF8EV08ku5AXN,spotify:track:1ThmUihH9dF8EV08ku5AXN,0.935,0.552,-9.373,0.335,0.111,0.0,0.0952,0.615,99.993,145627,HipHop
Gunna,SKYBOX,80,7GwYENSg87oERcW0Wacd6m,spotify:track:7GwYENSg87oERcW0Wacd6m,0.779,0.708,-6.527,0.162,0.0999,0.0,0.0934,0.345,140.894,178097,HipHop
Kendrick Lamar,HUMBLE.,84,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,0.908,0.621,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,HipHop
Quality Control,Baby (Lil Baby feat. DaBaby),78,5MPPttjfGap2C6j6eKcO6J,spotify:track:5MPPttjfGap2C6j6eKcO6J,0.97,0.463,-7.259,0.366,0.0957,0.0,0.151,0.46,108.003,142417,HipHop
Future,Life Is Good (feat. Drake),94,5yY9lUy8nbvjM1Uyo1Uqoc,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,0.676,0.609,-5.831,0.481,0.0706,0.0,0.152,0.508,142.037,237735,HipHop
DaBaby,ROCKSTAR (feat. Roddy Ricch),91,7ytR5pFWmSjzHJIeQkgog4,spotify:track:7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0.164,0.247,0.0,0.101,0.497,89.977,181733,HipHop
NLE Choppa,Walk Em Down (feat. Roddy Ricch),90,4cSSL3YafYjM3yjgFO1vJg,spotify:track:4cSSL3YafYjM3yjgFO1vJg,0.867,0.744,-5.171,0.228,0.268,0.0,0.0713,0.645,84.005,173288,HipHop
Eminem,Godzilla (feat. Juice WRLD),93,7FIWs0pqAYbP91WWM0vlTQ,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,0.808,0.745,-5.26,0.342,0.145,0.0,0.292,0.829,165.995,210800,HipHop
DaBaby,BOP,88,6Ozh9Ok6h4Oi1wUSLtBseN,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,-3.909,0.367,0.189,0.0,0.129,0.836,126.77,159715,HipHop
G Herbo,PTSD,86,3jT2LKH0RSbQ8jIUNFzXm5,spotify:track:3jT2LKH0RSbQ8jIUNFzXm5,0.883,0.808,-3.158,0.183,0.0317,0.0,0.207,0.805,119.012,232065,HipHop
Playboi Carti,@ MEH,86,5UusfWUMMLEXLMc1ViNZoe,spotify:track:5UusfWUMMLEXLMc1ViNZoe,0.876,0.492,-8.11,0.153,0.0136,0.000283,0.0678,0.4,151.044,166799,HipHop
Lil Yachty,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),86,7wsmIIm0xWmtP7TmACXkJn,spotify:track:7wsmIIm0xWmtP7TmACXkJn,0.836,0.617,-4.363,0.0534,0.17,0.0,0.319,0.866,138.066,206702,HipHop
Mustard,Ballin' (with Roddy Ricch),89,3QzAOrNlsabgbMwlZt7TAY,spotify:track:3QzAOrNlsabgbMwlZt7TAY,0.809,0.545,-6.678,0.0735,0.392,0.0,0.151,0.244,97.008,180435,HipHop
DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),85,2FvD20Z8aoWIePi7PoN8sG,spotify:track:2FvD20Z8aoWIePi7PoN8sG,0.816,0.582,-4.141,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366,HipHop
DaBaby,Suge,84,2gwkD6igEhQbDQegRCcdoB,spotify:track:2gwkD6igEhQbDQegRCcdoB,0.876,0.662,-6.482,0.426,0.0608,0.0,0.127,0.844,75.445,163320,HipHop
